ranking,Youtuber,subscribers,category,channel_type,video_views,Title,Country,video_views_for_the_last_30_days,highest_yearly_earnings,lowest_yearly_earnings,subscribers_for_last_30_days,Population,Latitude,Longitude,date_created,Urban_population
175,Maluma,29300000,Music,People,21226945136,MaLuMa,Argentina,15,0.72,0.05,nan,44938712,-38.416097,-63.616672,2015-10-31,41339571
176,Zhong,29200000,Entertainment,Entertainment,14727238483,Zhong,"United States",180519000,0,0,1000000,328239523,37.09024,-95.712891,2015-01-19,270663028
177,Enaldinho,29200000,Comedy,Games,11627437847,Enaldinho,Brazil,303100000,14500000,909300,1000000,212559417,-14.235004,-51.92528,2012-11-07,183241641
178,AuronPlay,29200000,Comedy,Comedy,4079141673,AuronPlay,Spain,12143000,582900,36400,nan,47076781,40.463667,-3.74922,2006-02-28,37927409
180,"infobells - Tamil",28900000,Education,Education,17930570614,"infobells - Tamil",India,109828000,5300000,329500,200000,1366417754,20.593684,78.96288,2014-03-13,471031528
182,"The Late Late Show with James Corden",28400000,Entertainment,Entertainment,9956764048,"The Late Late Show with James Corden","United States",26435000,1300000,79300,nan,328239523,37.09024,-95.712891,2006-11-21,270663028
183,"Aditya Movies",28400000,Movies,Film,10062770060,"Aditya Movies",India,227355000,10900000,682100,500000,1366417754,20.593684,78.96288,2012-02-23,471031528
185,"infobells - Telugu",28300000,Education,Education,14814192034,"infobells - Telugu",India,288110000,13800000,864300,800000,1366417754,20.593684,78.96288,2014-03-13,471031528
186,"HUM TV",28300000,Entertainment,Entertainment,23844936965,"HUM TV",Pakistan,684860000,32900000,2100000,700000,216565318,30.375321,69.345116,2011-05-25,79927762
187,"Shemaroo Movies",28200000,Entertainment,Film,7600740993,"Shemaroo Movies",India,184966000,8900000,554900,500000,1366417754,20.593684,78.96288,2011-03-01,471031528
188,"Michael Jackson",28200000,Music,Music,14412474625,"Michael Jackson","United States",158591000,7600000,475800,200000,328239523,37.09024,-95.712891,2005-06-22,270663028
192,"Bounce Patrol - Kids Songs",27800000,Music,Music,21037851468,"Bounce Patrol - Kids Songs",Australia,127441000,6100000,382300,nan,25766605,-25.274398,133.775136,2013-01-01,21844756
193,toycantando,27700000,Music,Music,15777682516,toycantando,Colombia,173836000,8300000,521500,200000,50339443,4.570868,-74.297333,2009-07-07,40827302
194,"MrBeast 2",27500000,"People & Blogs",Music,4552581106,"Leaux Pass","United States",649,0,0,nan,328239523,37.09024,-95.712891,2011-06-23,270663028
195,"Wiz Khalifa",27500000,Music,Music,13379395501,"Wiz Khalifa","United States",90450000,4300000,271300,100000,328239523,37.09024,-95.712891,2008-05-09,270663028
